,0,1,2,3,4,5,6,7,8,9,10,11
10,6.621554578486247e-05,6.264707548604394e-05,5.943709462648505e-05,5.654925392085691e-05,5.395172654848533e-05,5.161662673304522e-05,4.9519511926314495e-05,4.763895616733886e-05,4.595618417976609e-05,4.4454757432706865e-05,4.312030478168228e-05,4.1940291473143894e-05
11,6.796235506049182e-05,6.58319562046838e-05,6.378865535363981e-05,6.182846106920837e-05,5.9947583976396476e-05,5.814242575146897e-05,5.640956875004462e-05,5.4745766235921174e-05,5.314793317389054e-05,5.161313755216406e-05,5.013859220222812e-05,4.872164708600428e-05
12,6.831238331319807e-05,6.65041719802693e-05,6.47570134432018e-05,6.306859861527638e-05,6.143671448297715e-05,5.9859239807312995e-05,5.8334141029933094e-05,5.685946837374392e-05,5.543335212827771e-05,5.4053999110574946e-05,5.2719689292827915e-05,5.142877258849053e-05
13,6.838160737489789e-05,6.665074754129223e-05,6.49883582935094e-05,6.339147641755398e-05,6.185728641291197e-05,6.038311258694347e-05,5.896641160801112e-05,5.760476548920143e-05,5.629587497632419e-05,5.503755331557813e-05,5.3827720377859176e-05,5.2664397118168606e-05
14,6.83770651346438e-05,6.664790609641834e-05,6.49929925435488e-05,6.340893137151766e-05,6.189251261070316e-05,6.044069891588723e-05,5.905061571677487e-05,5.771954198574932e-05,5.644490158217209e-05,5.522425513539596e-05,5.405529243130717e-05,5.293582526966889e-05
15,6.75626788373658e-05,6.510411779266307e-05,6.279756878686837e-05,6.063306832098823e-05,5.860142486649572e-05,5.669415545200584e-05,5.490342796113425e-05,5.322200860110065e-05,5.1643214056077456e-05,5.016086788800805e-05,4.876926079125493e-05,4.7463114346544924e-05
16,6.833409160183208e-05,6.655636583412863e-05,6.484775414769546e-05,6.32052845004975e-05,6.162613034027344e-05,6.0107602935216184e-05,5.8647144140920936e-05,5.724231957734138e-05,5.58908121911635e-05,5.459041618056495e-05,5.3339031260782536e-05,5.21346572502693e-05
17,6.855754451835195e-05,6.69909966612337e-05,6.548200610302646e-05,6.402827728533414e-05,6.262762095756203e-05,6.127794890312777e-05,5.9977268950279675e-05,5.872368025129466e-05,5.751536881480955e-05,5.63506032769583e-05,5.522773089784874e-05,5.414517377071978e-05
18,6.865855385235144e-05,6.719050437992427e-05,6.577762091616328e-05,6.441772396883378e-05,6.310873689751394e-05,6.184868077503092e-05,6.063566953165543e-05,5.9467905365699096e-05,5.8343674405168565e-05,5.726134260607476e-05,5.6219351873879804e-05,5.5216216395391394e-05
19,6.869221475383888e-05,6.725861596693371e-05,6.58809152502997e-05,6.455688172794502e-05,6.328439326979059e-05,6.206143094341565e-05,6.088607378089811e-05,5.975649384204587e-05,5.86709515565066e-05,5.76277913283566e-05,5.662543738780833e-05,5.5662389875647476e-05
20,6.759197511995006e-05,6.516018369711409e-05,6.287811761020394e-05,6.073603083880693e-05,5.872492908947926e-05,5.683650838811035e-05,5.506309917825572e-05,5.339761540699211e-05,5.1833508131846383e-05,5.036472322891297e-05,4.8985662823998696e-05,4.769115010604719e-05
21,6.855094023586668e-05,6.69250581460495e-05,6.530770192209058e-05,6.37001211177126e-05,6.210352248799102e-05,6.051906883803508e-05,5.894787799760131e-05,5.739102192141407e-05,5.584952591457786e-05,5.432436798208796e-05,5.281647830108082e-05,5.132673881411373e-05
22,6.893835300224523e-05,6.766037523179988e-05,6.635271296448079e-05,6.50179796567234e-05,6.365880438381537e-05,6.227782325430072e-05,6.087767095580174e-05,5.9460972469838194e-05,5.803033499159358e-05,5.658834008875152e-05,5.513753613151883e-05,5.368043102378294e-05
23,6.903642655934295e-05,6.785727767476293e-05,6.664884355520754e-05,6.541338476992125e-05,6.415318232928192e-05,6.287053068998516e-05,6.156773083073134e-05,6.0247083427471834e-05,5.891088215626715e-05,5.7561407150659494e-05,5.620091863917566e-05,5.483165078716434e-05
